"","X","id","id_spp","id_process","E","E_std","lnB0_sch","lnB0_SE_sch","lnB0Bug","E_D_sch","E_D_SE_sch","T_h_sch","T_h_SE_sch","T_pk_sch","P_pk_sch","P_pkBug","AIC_sch","r_sq_sch","AftPk","BefPk","MinVal","B0_renorm10","habitat","ConKingdom","ConPhylum","ConClass","ConOrder","ConFamily","ConGenus","ConSpecies","TaxonomicGroup","Trophy"
"81",269,"MTD3720","Zostera marina","respiration rate",0.278289521476675,0.0607373949549411,0.666747833331788,2.4681091518896,FALSE,17.5123227814224,86664.7848756875,302.00403667186,3392.35248419501,298.15,-10.1614176133701,FALSE,-7.60827319953113,0.965267388690789,1,4,NA,2.1768605150272e-05,"Aquatic","Plantae","Streptophyta","Liliopsida","Alismatales","Zosteraceae","Zostera","marina","Vascular Plants","Autotroph"
"3",188,"MTD3164","Cladophora glomerata","respiration rate",0.451469568633217,0.0716714131776967,26.5320843012371,2.91272654209087,FALSE,4.20715220020664,5222231.41465749,350,453482427.376672,308.15,9.53560208917966,FALSE,1.94826129723264,0.989011127990959,0,7,NA,3086.95814924965,"Aquatic","Plantae","Chlorophyta","Ulvophyceae","Cladophorales","Cladophoraceae","Cladophora","glomerata","Green Algae","Autotroph"
"10",195,"MTD3278","Koliella antarctica","respiration rate",0.304739961925844,0.0470062559579315,-4.85689792538705,1.89498690905431,FALSE,6.84114906455874,46.9705527845118,305.741504883283,8.26008836718544,303.15,-16.5237262902448,FALSE,-7.95978904623469,0.975860312014688,1,5,NA,2.93965791929965e-08,"Aquatic","Plantae","Streptophyta","Klebsormidiophyceae","Klebsormidiales","Klebsormidiaceae","Koliella","antarctica","Green Algae","Autotroph"
"11",196,"MTD3280","Chlorella saccharophila","respiration rate",0.644355361953032,0.131379788858083,9.19548746623572,5.40520380589838,FALSE,1.69549255718009,0.432618306338531,299.314170130325,1.40362453615292,298.15,-16.2643544280759,FALSE,-5.08179567562869,0.925517428578451,1,5,NA,3.32681564310641e-08,"Aquatic","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Chlorella","saccharophila","Green Algae","Autotroph"
"12",197,"MTD3282","Chlorella sorokiniana","respiration rate",1.04459781198116,0.273184103579665,22.4624370537403,11.0901024169831,FALSE,1.56145898539368,0.596262756661329,308.625600759743,3.83111810560485,308.15,-17.9094706069212,FALSE,1.8064118690203,0.894868101066793,1,5,NA,1.45833245305843e-09,"Aquatic","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Chlorella","sorokiniana","Green Algae","Autotroph"
"58",245,"MTD3540","Chondrus crispus","respiration rate",0.51705676236374,0.0728188359644986,0.524508456038805,2.99722478151047,FALSE,1.36344429904676,0.142932395537805,300.392176253244,1.25563605876234,297.94504,-19.9417624119663,FALSE,-12.9249625271957,0.925733211614986,4,8,NA,1.03979056807572e-09,"Aquatic","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Chondrus","crispus","Red Algae","Autotroph"
"14",199,"MTD3330","Gigartina stellata","respiration rate",1.44550563631832,0.997832488206387,44.7373745851732,43.1917987793119,FALSE,1.44555907276604,1.74490106798226,343.904900953042,120393.241253847,305.032786,-14.2473536059241,FALSE,12.1454460834565,0.733653222842237,0,5,NA,2.88362174926083e-07,"Aquatic","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Gigartina","stellata","Red Algae","Autotroph"
"15",200,"MTD3335","Egeria densa","respiration rate",1.70310524153647,0.989277005303367,59.0228838521399,39.8406089343983,FALSE,2.29513389053077,0.559929104424897,297.835221496116,1.55701009671799,297.15,-8.67366456709676,FALSE,-4.94054502301515,0.937681699578515,2,2,NA,2.0760129474097e-05,"Aquatic","Plantae","Streptophyta","Liliopsida","Alismatales","Hydrocharitaceae","Egeria","densa","Vascular Plants","Autotroph"
"16",201,"MTD3336","Hydrilla verticillata","respiration rate",1.15511427003426,11.1496781810702,37.9325337673808,459.303537242655,FALSE,1.15531742561094,9.38699393280896,350,80580.4016316928,305.091456,-9.04722357677608,FALSE,-2.31803169093365,0.787111068953877,0,4,NA,4.97462179112532e-05,"Aquatic","Plantae","Streptophyta","Liliopsida","Alismatales","Hydrocharitaceae","Hydrilla","verticillata","Vascular Plants","Autotroph"
"18",203,"MTD3369","Eucheuma isiforme","respiration rate",0.769287580493652,0.188074484847753,10.2357826744701,7.46028794301972,FALSE,10.3560901373149,887.245984006628,306.958727889351,109.640861504383,303.26344,-19.192942318508,FALSE,8.75323122429796,0.874115992880411,2,5,NA,5.71549482569443e-10,"Aquatic","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Solieriaceae","Eucheuma","isiforme","Red Algae","Autotroph"
"19",204,"MTD3370","Eucheuma nudum","respiration rate",1.91325256818523,0.756642536783301,56.8146130347702,30.2496166595274,FALSE,3.23678108919822,3.45691845099787,304.733095694108,3.42851327928418,303.127608,-16.9681834869009,FALSE,24.343020727669,0.910770493680043,1,6,NA,4.27397361775043e-10,"Aquatic","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Solieriaceae","Eucheuma","nudum","Red Algae","Autotroph"
"20",205,"MTD3371","Eucheuma acanthocladum","respiration rate",0.649110187406511,0.145829630293602,6.77571375308147,5.81575861085071,FALSE,5.87494607292022,12.8455057260009,304.230392920174,7.42083112015723,302.286196,-18.1643631983357,FALSE,0.867992432270281,0.970663412123921,1,5,NA,2.47022771624366e-09,"Aquatic","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Solieriaceae","Eucheuma","acanthocladum","Red Algae","Autotroph"
