"NPMin5","NPMin2","NPPeak","NP2","NP5","RMin5","RMin2","RPeak","R2","R5","CUEMin5","CUEMin2","CUEPeak","CUE2","CUE5","TpkNP","TpkR","TpkNP_SD","TpkR_SD","TpkRealNP","TpkRealR","ENP","ER","B0R","B0NP","ID_R","ID_NP","B0_NP_MeanT","B0_R_MeanT","B0_NP_MinT","B0_R_MinT","V32","c","E","Species","Type"
"Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","NaN","NaN","NaN","NaN","NaN","33.495277747534","76.85","2.25220078006818","250.220358070899","35","40",0.595390967886357,0.721990157914941,"0.00925257226462276","0.00486427854467088","MTD2112","MTD2113","0.00575706731613643","0.0111956734830687",0.00124833991724554,0.00187758571985849,"Ter",0.664864407543334,1.2126320298039,"Betula pendula","C3"
"Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","NaN","NaN","NaN","NaN","NaN","39.467923227182","48.485243407341","0.46906629163043","753189.045217503","39.733654","49.25355",0.341899991474907,0.555561310682787,"0.00141746590371301","0.0315271469166415","MTD3147","MTD3146","0.0639845957206618","0.00478101039254353",0.0318174466931749,0.00143895898251339,"Ter",22.1114340852164,1.62492344116821,"Cenchrus ciliaris","C4"
"Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","NaN","NaN","NaN","NaN","NaN","32.948940235006","68.197772219168","0.65441830811801","62.7749048490192","33.751915","54.850643",0.301308836631407,0.587360019807199,"0.00349580527380818","0.0255729828506577","MTD3149","MTD3148","0.0377021679866997","0.00774276301091964",0.0263524431627455,0.0037081079734607,"Ter",7.10670869115802,1.94936207770674,"Calopogonium mucunoides","C3"
"2494651.41254605","6306373.20324999","8901363.13964489","6250636.26686182","2241816.43957589","2.11529821540729","2.30157182220559","2.52400987096518","2.79137634728453","3.1150569757567","0.999999152067334","0.999999635040473","0.999999716446895","0.999999553425446","0.999998610478275","25.020815495625","76.85","0.584528064595913","2276535478.26576","25","35",0.485254172384663,0.321321556072671,"4.77298293721193e-07","8.84713119750288e-06","MTD3241","MTD3242","1.33802021334432e-05","6.70383931933572e-07",8.84713119750288e-06,4.77298293721193e-07,"Ter",18.5358533937496,0.662171650155247,"Quercus canariensis","C3"
"6.37964180789791e+162","3.03561646673487e+171","3.30247653636595e+174","6.50036787843403e+171","1.41170401416783e+164","4.19384818940606e+30","2.11086093973077e+39","9.92701413298324e+49","7.28254824044306e+62","1.17187453678861e+78","1","1","1","1","1","20.652070450228","76.85","0.290406010150431","1238.84108934327","19.903212","30.536358",0.578874885084324,0.927641105545886,"3.32592044265799e-05","0.00029526886380574","MTD3244","MTD3243","0.000329701958713944","4.39622874042375e-05",0.000206675811843546,1.59918800357513e-05,"Ter",12.9237970383409,1.60248981161233,"Sphagnum squarrosum","C3"
"1.04404681535314e+129","1.68891614150723e+140","5.17399462118981e+144","3.75142884234103e+139","4.94284683102729e+126","8.33406985528666e+52","5.19836137177154e+67","2.40877820185204e+87","5.12470390703939e+111","1.14079442550551e+139","1","1","1","1","4.54747350886464e-13","21.58680016992","37.510818535647","0.648754316975602","23.8647738582964","20.742466","32.87462",0.585363569898004,0.753720552616502,"6.0039908399695e-05","0.000197038629426487","MTD3246","MTD3245","0.000233911587654132","7.79696611341253e-05",0.000125178659293139,3.21059988485788e-05,"Ter",3.89891807707083,1.28761096756984,"Sphagnum angustifolium","C3"
"5.30245694244758e+107","9.14496837002968e+115","9.64167100432705e+118","2.18215829937918e+116","6.93320525523031e+108","2.47994960273659e+21","1.94921903603925e+29","8.85899014309116e+38","1.3408541664589e+50","2.01082150061303e+62","1","1","1","1","1","21.674562423645","76.85","0.690612731689545","7688.26240870826","20.679726","31.194695",0.657851677494921,1.07171198603116,"2.84853305454003e-05","0.000167311658461638","MTD3248","MTD3247","0.000232736036490198","5.68658637186608e-05",0.000116196664051261,1.49206246205468e-05,"Ter",7.78765413689516,1.62910884427962,"Sphagnum warnstorfii","C3"
"Inf","Inf","Inf","Inf","Inf","1.20838169208426e+25","9.04375379346656e+30","9.05900841893318e+37","1.6454255753221e+46","7.08374219043533e+55","1","1","1","1","1","20.924092192021","76.85","0.634953583644786","664.278193048443","19.915215","34.817566",0.537037634663967,0.641740143419548,"3.74850996675423e-05","0.000638969249040151","MTD3305","MTD3295","0.000733648525425215","4.63667295478653e-05",0.000448277084489126,2.32920440835375e-05,"Ter",19.2459314812117,1.19496307520626,"Acer saccharum","C3"
"Inf","Inf","Inf","Inf","Inf","3.00445460024007e+32","1.71314328389899e+40","2.64821481654323e+49","1.43867499287969e+60","3.18278140967584e+72","1","1","1","1","1","21.452407658447","76.85","0.750480417883155","408.362635226214","20.123379","35.42531",0.43967917192652,0.682535826624828,"4.1162108454425e-05","0.000571826964797942","MTD3309","MTD3297","0.000727709479553461","6.51599864438066e-05",0.000421447269366576,2.4949768447141e-05,"Ter",16.8918308905135,1.55234969087618,"Acer saccharum","C3"
"1.00000025582045","1.00000026778285","1.00000027165483","1.00000026846721","1.00000025987551","1.00000003496582","1.00000004696552","1.00000006097858","1.00000007627896","1.00000009175655","0.500000055213649","0.500000055204324","0.500000052669055","0.500000048047055","0.500000042029734","26.744233206152","76.85","0.0132113916261312","92.1964278632696","27.050161","52.697964",0.805940475196889,0.597710470028329,"9.15446099256433e-15","1.28997000609291e-13","MTD3324","MTD3319","2.69207624587784e-13","3.7455524706941e-14",2.0311870467023e-13,1.50200878861312e-14,"Ter",13.5231368957421,0.741631036562979,"Larrea divaricata","C3"
