,Species,Species.1,Trait,E,Est_Tpk,Est_Response,Rank,Points_Before_Peak,Est_Tpk_std,Est_Response_std,E_std,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,Best_Guess,TempPref,Pathogen,Pathogen_type,Pathogen_len,Pathogen_ES,Pathogen_ES_max,Pathogen_ES_min,Pathogen_ES_median,Best_Guess_len,Best_Guess_ES,Best_Guess_ES_max,Best_Guess_ES_min,Best_Guess_ES_median,TempPref_len,TempPref_ES,TempPref_ES_max,TempPref_ES_min,TempPref_ES_median,Pathogen_type_len,Pathogen_type_ES,Pathogen_type_ES_max,Pathogen_type_ES_min,Pathogen_type_ES_median
0,0,Acetobacterium bakii,Specific Growth Rate,0.167003317296859,295.342,3.01334455701,1,5,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,12.0,1.5034465740506804,2.08895804336641,0.621944359790261,0.6323176697581985,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
1,2,Acetobacterium fimetarium,Specific Growth Rate,0.621944359790261,302.927,3.72813472375,1,6,1.0947049830893,1.1999774147225709e+17,2.83497544626148,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,12.0,1.5034465740506804,2.08895804336641,0.621944359790261,0.6323176697581985,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
2,7,Acetobacterium z-4290,Specific Growth Rate,0.642690979726136,302.707,3.8089162625300004,1,6,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,12.0,1.5034465740506804,2.08895804336641,0.621944359790261,0.6323176697581985,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
3,16,Acidibacter ferrireducens,Specific Growth Rate,1.5535451592057699,307.5216,2.0085137900400003,1,3,0.482767759901286,0.196252357797404,0.44798000373366104,Bacteria,Proteobacteria,Gammaproteobacteria,,,Acidibacter,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
4,72,Bosea eneae,Specific Growth Rate,0.650284474229452,299.673,0.39598163706600004,1,9,0.351109655236161,0.0136098355100905,0.0561781907584626,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
5,77,Brochothrix thermosphacta,Specific Growth Rate,0.670414772529266,300.7637062,30.6035303515,1,6,1.8626286531118101,86.4009173967659,0.0884749883054921,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Brochothrix,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
6,98,Colwellia hornerae,Specific Growth Rate,0.731880315030838,284.065,4.05448494646,1,11,0.49026996644703097,0.300886623596338,0.190356370232779,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
7,99,Colwellia psychrerythraea,Specific Growth Rate,0.46045987910239294,286.0772,5.70651270814,1,13,0.308940107464195,0.154682794840849,0.0492641685820146,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
8,100,Colwellia psychrotropica,Specific Growth Rate,0.44664955490405,291.0102,9.68275467274,1,14,0.31877866929891696,0.252901102459144,0.0364809280796815,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
9,182,Gelidibacter gilvus,Specific Growth Rate,0.633541028569908,296.70731,3.4981458929800002,1,27,0.40039855144602204,0.154141398982594,0.10199840488768,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gelidibacter,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
10,183,Gelidibacter sp.,Specific Growth Rate,0.8886346300004629,296.08,4.94652985516,1,41,0.23392629181010197,0.162595659814255,0.10755174488977098,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gelidibacter,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
11,199,Haloarcula vallismortis,Specific Growth Rate,0.33298887417626,318.6679,13.332999275999999,1,12,0.5017193538225471,0.275581717292269,0.0300628944662742,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarcula,Aerobic,Mesophile,Non-pathogen,,259.0,0.8918155342717898,0.9580703154542696,0.8262736181934608,0.7967168069953979,241.0,0.8326910489057424,0.8808244203099652,0.7894662680724494,0.848777145581119,285.0,0.8482998350134399,0.8998210456989797,0.796423751641576,0.8152557070658379,,,,,
