Species,Species,Trait,E,Est_Tpk,Est_Response,Rank,Points_Before_Peak,Est_Tpk_std,Est_Response_std,E_std,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,Best_Guess,TempPref
0,Acetobacterium bakii,Specific Growth Rate,0.1670033172968588,295.342,3.01334455701,1,5,NA,NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile
1,Acetobacterium carbinolicum,Specific Growth Rate,1.0449441108909674,NA,NA,1,6,NA,NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile
2,Acetobacterium fimetarium,Specific Growth Rate,0.6219443597902614,302.927,3.72813472375,1,6,1.0947049830893003,1.1999774147225709e+17,2.8349754462614785,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile
3,Acetobacterium paludosum,Specific Growth Rate,0.5094544659144191,NA,NA,1,5,NA,NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile
4,Acetobacterium tundrae,Specific Growth Rate,1.4092242472154923,NA,NA,1,4,NA,NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile
5,Acetobacterium tundrae,Specific Growth Rate,0.5973863140101492,NA,NA,1,5,NA,NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile
6,Acetobacterium z-4092,Specific Growth Rate,0.526031435457055,NA,NA,1,5,NA,NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile
7,Acetobacterium z-4290,Specific Growth Rate,0.6426909797261364,302.707,3.8089162625300004,1,6,NA,NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile
8,Acetobacterium z-4391,Specific Growth Rate,0.16916734730277527,NA,NA,1,5,NA,NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile
13,Acidianus infernus,Specific Growth Rate,1.1400449558804346,365.1735,8.37560187089,1,5,3.62818441591226,2.2335042153118967,0.4726094247417241,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,C19,Thermophile
15,Acidianus sp. ale1,Specific Growth Rate,0.481636821250125,351.8196,2.76297655855,1,4,NA,NA,NA,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,F3,Thermophile
16,Acidibacter ferrireducens,Specific Growth Rate,1.553545159205769,307.5216,2.0085137900400003,1,3,0.4827677599012863,0.19625235779740435,0.4479800037336609,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,Acidibacter,Aerobic,Mesophile
18,Acidilobus aceticus,Specific Growth Rate,2.054075819287732,357.4006,6.64800170153,1,3,0.3095141353800236,0.5512889811209787,0.3422496151394546,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,Fermentation,Thermophile
19,Acidilobus sulfurireducens,Specific Growth Rate,3.9685602421154966,353.35,0.789603761927,1,4,0.9592177864076722,0.2264229251386253,2.9159399556111114,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,C19,Thermophile
28,Acidithiobacillus caldus,Specific Growth Rate,0.4647456349475154,320.3859,7.11949511844,1,4,0.2568613439193021,0.16615188851415194,0.03491258045685111,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,C14,Mesophile
30,Acidithiobacillus ferrivorans,Specific Growth Rate,1.8745640764396616,301.4998,2.9781636032099996,1,4,0.4167112766882309,0.3371470288425888,0.4097469197155809,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,F4,Mesophile
34,Acidocella aromatica,Specific Growth Rate,1.0647418560142412,304.1509,6.554475095750001,1,4,0.5546830255601571,0.5600820781368987,0.2808013088071143,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidocella,Aerobic,Mesophile
35,Acidovorax sp. k33,Specific Growth Rate,0.21114183950212093,305.08099999999996,0.458208219161,1,12,3.5897627337166536,0.08252776772962897,0.04282006610422495,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Aerobic,Mesophile
36,Aeribacillus pallidus,Specific Growth Rate,0.6867534640434599,331.80631,5.9258378269800005,1,6,1.812252866636192,7.6107246600853875,0.1713647972853872,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Aeribacillus,Aerobic,Thermophile
37,Aeromonas hydrophila,Specific Growth Rate,0.6495889185917421,305.8,45.5313749713,1,26,0.2878450798607433,1.1332116892451356,0.03417879803868122,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aerobic,Mesophile
38,Aeropyrum pernix,Specific Growth Rate,1.420031703364271,364.1327,6.0931109145099995,1,5,0.30388807150008695,0.1882576778208757,0.11505766503872568,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,Aerobic,Thermophile
39,Alicyclobacillus acidocaldarius,Specific Growth Rate,0.3954105875012899,340.3951,33.2348835659,1,5,2.7072706683780448,166.9389766415125,0.1386391766122354,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Aerobic,Thermophile
