"Species","Species.1","Trait","E","Est_Tpk","Est_Response","Rank","Points_Before_Peak","Est_Tpk_std","Est_Response_std","E_std","ConKingdom","ConPhylum","ConClass","ConOrder","ConFamily","ConGenus","Best_Guess","TempPref"
0,"Acetobacterium bakii","Specific Growth Rate",0.167003317296859,295.342,3.01334455701,1,5,NA,NA,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Acetobacterium","E1","Mesophile"
1,"Acetobacterium carbinolicum","Specific Growth Rate",1.04494411089097,NA,NA,1,6,NA,NA,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Acetobacterium","E1","NA"
2,"Acetobacterium fimetarium","Specific Growth Rate",0.621944359790261,302.927,3.72813472375,1,6,1.0947049830893,119997741472257088,2.83497544626148,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Acetobacterium","E1","Mesophile"
3,"Acetobacterium paludosum","Specific Growth Rate",0.509454465914419,NA,NA,1,5,NA,NA,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Acetobacterium","E1","NA"
4,"Acetobacterium tundrae","Specific Growth Rate",1.40922424721549,NA,NA,1,4,NA,NA,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Acetobacterium","E1","NA"
5,"Acetobacterium tundrae","Specific Growth Rate",0.597386314010149,NA,NA,1,5,NA,NA,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Acetobacterium","E1","NA"
6,"Acetobacterium z-4092","Specific Growth Rate",0.526031435457055,NA,NA,1,5,NA,NA,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Acetobacterium","E1","NA"
7,"Acetobacterium z-4290","Specific Growth Rate",0.642690979726136,302.707,3.80891626253,1,6,NA,NA,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Acetobacterium","E1","Mesophile"
8,"Acetobacterium z-4391","Specific Growth Rate",0.169167347302775,NA,NA,1,5,NA,NA,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Acetobacterium","E1","NA"
13,"Acidianus infernus","Specific Growth Rate",1.14004495588043,365.1735,8.37560187089,1,5,3.62818441591226,2.2335042153119,0.472609424741724,"Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","C19","Thermophile"
15,"Acidianus sp. ale1","Specific Growth Rate",0.481636821250125,351.8196,2.76297655855,1,4,NA,NA,NA,"Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","F3","Thermophile"
16,"Acidibacter ferrireducens","Specific Growth Rate",1.55354515920577,307.5216,2.00851379004,1,3,0.482767759901286,0.196252357797404,0.447980003733661,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,"Acidibacter","Aerobic","Mesophile"
18,"Acidilobus aceticus","Specific Growth Rate",2.05407581928773,357.4006,6.64800170153,1,3,0.309514135380024,0.551288981120979,0.342249615139455,"Archaea","Crenarchaeota","Thermoprotei","Acidilobales","Acidilobaceae","Acidilobus","Fermentation","Thermophile"
19,"Acidilobus sulfurireducens","Specific Growth Rate",3.9685602421155,353.35,0.789603761927,1,4,0.959217786407672,0.226422925138625,2.91593995561111,"Archaea","Crenarchaeota","Thermoprotei","Acidilobales","Acidilobaceae","Acidilobus","C19","Thermophile"
28,"Acidithiobacillus caldus","Specific Growth Rate",0.464745634947515,320.3859,7.11949511844,1,4,0.256861343919302,0.166151888514152,0.0349125804568511,"Bacteria","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","C14","Thermophile"
30,"Acidithiobacillus ferrivorans","Specific Growth Rate",1.87456407643966,301.4998,2.97816360321,1,4,0.416711276688231,0.337147028842589,0.409746919715581,"Bacteria","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","F4","Mesophile"
34,"Acidocella aromatica","Specific Growth Rate",1.06474185601424,304.1509,6.55447509575,1,4,0.554683025560157,0.560082078136899,0.280801308807114,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidocella","Aerobic","Mesophile"
35,"Acidovorax sp. k33","Specific Growth Rate",0.211141839502121,305.081,0.458208219161,1,12,3.58976273371665,0.082527767729629,0.042820066104225,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Aerobic","Mesophile"
36,"Aeribacillus pallidus","Specific Growth Rate",0.68675346404346,331.80631,5.92583782698,1,6,1.81225286663619,7.61072466008539,0.171364797285387,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Aeribacillus","Aerobic","Thermophile"
37,"Aeromonas hydrophila","Specific Growth Rate",0.649588918591742,305.8,45.5313749713,1,26,0.287845079860743,1.13321168924514,0.0341787980386812,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aerobic","Mesophile"
38,"Aeropyrum pernix","Specific Growth Rate",1.42003170336427,364.1327,6.09311091451,1,5,0.303888071500087,0.188257677820876,0.115057665038726,"Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Aeropyrum","Aerobic","Thermophile"
39,"Alicyclobacillus acidocaldarius","Specific Growth Rate",0.39541058750129,340.3951,33.2348835659,1,5,2.70727066837804,166.938976641513,0.138639176612235,"Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Alicyclobacillus","Aerobic","Thermophile"
40,"Alicyclobacillus acidocaldarius","Specific Growth Rate",0.403047693784104,340.552,35.7941242628,1,5,1.96051656850472,11.0676580135763,0.094800214528114,"Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Alicyclobacillus","Aerobic","Thermophile"
