,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est_Tpk,Max_response,Slope,Intercept,R_Squared,AIC,BIC,Delta_AIC,Delta_BIC,Best_Type,Rank,Corrected,Number_Of_Data_Points,Points_Before_Peak,Points_After_Peak,Number_Of_Variables,Tpk_std,Response_std,E_std,B0_est,E_est,E_D_est,E_D_L_est,T_pk_est,FinalID,OriginalID,Citation,Latitude,Longitude,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,OptimalConditions,Best_Guess,ConLabGrowthTemp
392_Sch_TF_TKP,Acetobacterium bakii,schoolfield_two_factor_tpk,Specific Growth Rate,0.5704082908309557,0.1670033172968588,295.41989657007457,134.36718579640868,NA,295.342,3.01334455701,NA,NA,0.98477831311685,0.0,-22.576835981134153,NA,NA,schoolfield_two_factor_tpk,1,False,5,5,0,4,NA,NA,NA,1.7431406289214344,4.838167918087422,23.54402050293719,-10.453454310198975,291.89036860520747,392,bakii_pond,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,bakii,True,E1,NA
401_Sch_TF_TKP,Acetobacterium carbinolicum,schoolfield_two_factor_tpk,Specific Growth Rate,-3.28117397415283,1.0449441108909674,371.8530407850771,1.045372104832774,NA,NA,NA,NA,NA,0.9929295235834233,-35.586575376028826,-34.62777802988855,NA,NA,schoolfield_two_factor_tpk,1,False,6,6,0,4,NA,NA,NA,-0.09739234600864954,0.9455553951164869,3.7822215804659476,0.6332893312618604,298.476,401,A.carb,"Paarup, M et al (2006) Characterization of the psychrotolerant acetogen strain SyrA5 and the emended description of the species Acetobacterium carbinolicum. Antonie va Leewenhoek 89, 55-69",NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,carbinolicum,True,E1,30.0
394_Sch_TF_TKP,Acetobacterium fimetarium,schoolfield_two_factor_tpk,Specific Growth Rate,-1.2772090286992714,0.6219443597902614,302.9876723580517,91.78430473203086,NA,302.927,3.72813472375,NA,NA,0.992309772887276,-24.515452030091176,-22.78590128481461,NA,NA,schoolfield_two_factor_tpk,1,False,7,6,1,4,1.0947049830893003,1.1999774147225707e+17,2.8349754462614785,0.42317366994538475,3.199193618235194,7.897041121210974,-2.247791264185922,302.69499756668694,394,fime_manure,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,fimetarium,True,E1,NA
393_Sch_TF_TKP,Acetobacterium paludosum,schoolfield_two_factor_tpk,Specific Growth Rate,0.07391474647189944,0.5094544659144191,313.8704031791448,7.832065286675546,NA,NA,NA,NA,NA,0.9836716249705868,-9.895021048632092,-9.84783148646159,NA,NA,schoolfield_two_factor_tpk,1,False,5,5,0,4,NA,NA,NA,2.380738275843211,0.8302311643306644,5.653576965642484,-3.7549570287864307,292.9423448849833,393,palu_fen,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,paludosum,True,E1,NA
395_Sch_TF_TKP,Acetobacterium tundrae,schoolfield_two_factor_tpk,Specific Growth Rate,-3.1863923278531656,1.4092242472154923,319.31176069863017,35.51191989718023,NA,NA,NA,NA,NA,0.9991327522490053,0.0,-29.458407106145184,NA,NA,schoolfield_two_factor_tpk,1,False,4,4,0,4,NA,NA,NA,0.5348847865537831,0.7220600948094674,2.7885331678451757,-1.9140091394546745,287.2581802716901,395,tund_tundra,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,tundrae,True,E1,NA
399_Sch_TF_TKP,Acetobacterium tundrae,schoolfield_two_factor_tpk,Specific Growth Rate,-1.659078588630075,0.5973863140101492,523.0694658068883,0.5974569298483935,NA,NA,NA,NA,NA,0.9750921344620196,-24.66196865516841,-24.614779092997907,NA,NA,schoolfield_two_factor_tpk,1,False,5,5,0,4,NA,NA,NA,0.6203413227114378,2.0448263486676175,6.314308800011752,-4.63555138758682,292.976715814852,399,Z-4493,"2000, Maria V. Simankova and Oleg R. Kotsyurbenko and Erko Stackebrandt and Nadezhda A. Kostrikina and Anatoliy M. Lysenko and Georgiy A. Osipov and Alla N. Nozhevnikova, 'Acetobacterium tundrae sp. nov., a new psychrophilic acetogenic bacterium from tundra soil'. Archives of Microbiology, 174(6),pp440-447",NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,tundrae,True,E1,8.0
396_Sch_TF_TKP,Acetobacterium z-4092,schoolfield_two_factor_tpk,Specific Growth Rate,0.048157731930646756,0.526031435457055,322.64161118309346,6.090212772202372,NA,NA,NA,NA,NA,0.9845201170418536,-10.08927483788898,-10.042085275718478,NA,NA,schoolfield_two_factor_tpk,1,False,5,5,0,4,NA,NA,NA,1.6835646978314682,0.8646217970440527,4.7433552515428925,-3.1897688588929123,293.1845187858501,396,Z-4092,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,NA,True,E1,6.0
398_Sch_TF_TKP,Acetobacterium z-4290,schoolfield_two_factor_tpk,Specific Growth Rate,-1.3266325228427638,0.6426909797261364,302.79802784364,124.56883560965653,NA,302.707,3.80891626253,NA,NA,0.9927392287335501,-24.72502228242616,-22.995471537149594,NA,NA,schoolfield_two_factor_tpk,1,False,7,6,1,4,NA,NA,NA,0.25002904518592894,2.4790094609414313,6.87194088872798,-0.9039112130222972,303.0849790840996,398,Z-4290,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,NA,True,E1,6.0
397_Sch_TF_TKP,Acetobacterium z-4391,schoolfield_two_factor_tpk,Specific Growth Rate,0.5595275130938425,0.16916734730277527,299.29454983432254,150.1490993062932,NA,NA,NA,NA,NA,0.9782089737351808,0.0,-20.78634334776646,NA,NA,schoolfield_two_factor_tpk,1,False,5,5,0,4,NA,NA,NA,2.776640930639343,7.779461363473206,25.780042436945127,-13.250809862641043,291.7339369670082,397,Z-4391,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,NA,True,E1,6.0
68_Sch_TF_TKP,Acidianus brierleyi,schoolfield_two_factor_tpk,Time To Increase SO4 to 3000mg/L,-7.820934723987548,0.6669455780560314,349.48369237989544,3.430163224517843,NA,349.3493,0.157170900312,NA,NA,0.9735024645581143,-178.84731773356754,-172.12512283773535,NA,NA,schoolfield_two_factor_tpk,1,False,19,16,3,4,0.6120490094756876,0.007147546935194595,0.054427900849417524,-4.306666874904727,1.444334990862347,2.08177160986762,0.5118391232556488,352.41749999999996,68,Franzman_2005_A_brierleyi,"2005,  FRANZMANN, P.D. et al , 'Effects of temperature on the rates of iron and sulfur oxidationby selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation', Minerals Engineering, 18, (1304-1314)",44.42,-110.58,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19,NA
