,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est_Tpk,Max_response,Slope,Intercept,R_Squared,AIC,BIC,Delta_AIC,Delta_BIC,Best_Type,Rank,Corrected,Number_Of_Data_Points,Points_Before_Peak,Points_After_Peak,Number_Of_Variables,Tpk_std,Response_std,E_std,B0_est,E_est,E_D_est,E_D_L_est,T_pk_est,FinalID,OriginalID,Citation,Latitude,Longitude,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,OptimalConditions,RespiratoryPathway,ConLabGrowthTemp
380_Sch_TF_TKP,Acetobacterium bakii,schoolfield_two_factor_tpk,Specific Growth Rate,0.5704082889039058,0.16700331831208426,817.3249161241025,134716.2194746098,NA,NA,NA,NA,NA,0.9847783131196366,0.0,-22.576835981134113,NA,NA,schoolfield_two_factor_tpk,1,False,5,5,0,4,NA,NA,NA,1.5258005571555366,5.630663300757139,24.984302713909567,-12.325063650025179,292.7163170545041,380,bakii_pond,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,bakii,True,E1,NA
389_Sch_TF_TKP,Acetobacterium carbinolicum,schoolfield_two_factor_tpk,Specific Growth Rate,-3.28117397415283,1.0449441108909674,371.8530407850771,1.045372104832774,NA,NA,NA,NA,NA,0.9929295235834233,-35.586575376028826,-34.62777802988855,NA,NA,schoolfield_two_factor_tpk,1,False,6,6,0,4,NA,NA,NA,-0.09739234600864954,0.9455553951164869,3.7822215804659476,0.6332893312618604,298.476,389,A.carb,"Paarup, M et al (2006) Characterization of the psychrotolerant acetogen strain SyrA5 and the emended description of the species Acetobacterium carbinolicum. Antonie va Leewenhoek 89, 55-69",NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,carbinolicum,True,E1,30.0
382_Sch_TF_TKP,Acetobacterium fimetarium,schoolfield_two_factor_tpk,Specific Growth Rate,-1.277208891828177,0.6219443236669455,302.88566684726004,21.451657685713474,NA,302.8270000000076,3.6192469938561858,NA,NA,0.9923098603523022,-24.515449908379594,-22.78589916310303,NA,NA,schoolfield_two_factor_tpk,1,False,7,6,1,4,NA,NA,NA,0.0911014661543238,1.996168983866915,7.614117402945107,-1.544576804257353,303.09819513830405,382,fime_manure,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,fimetarium,True,E1,NA
381_Sch_TF_TKP,Acetobacterium paludosum,schoolfield_two_factor_tpk,Specific Growth Rate,0.07391475885865022,0.5094544626083866,310.3022102787213,9.950052047511965,NA,NA,NA,NA,NA,0.9836716250438308,-9.895021049953524,-9.847831487783022,NA,NA,schoolfield_two_factor_tpk,1,False,5,5,0,4,NA,NA,NA,0.6458304817379196,1.091302180719997,7.875394340757231,-3.333085523266789,292.93746423142375,381,palu_fen,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,paludosum,True,E1,NA
383_Sch_TF_TKP,Acetobacterium tundrae,schoolfield_two_factor_tpk,Specific Growth Rate,-6.436320570777738,0.8763627236177451,307.4737130979014,0.00866011148542467,NA,NA,NA,NA,NA,0.9996904955120509,0.0,-33.93803139633489,NA,NA,schoolfield_two_factor_tpk,1,False,4,4,0,4,NA,NA,NA,-1.6677860149457953,0.026175979708898622,0.35256305979144686,-2.557978865286314,288.0912539731912,383,tund_tundra,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,tundrae,True,E1,NA
387_Sch_TF_TKP,Acetobacterium tundrae,schoolfield_two_factor_tpk,Specific Growth Rate,-1.6628816892162934,0.5212752183522544,296.29421316005215,40.2965403740822,NA,296.18000000000615,1.0528185977456084,NA,NA,0.9745498460816023,-24.551419212817535,-24.504229650647034,NA,NA,schoolfield_two_factor_tpk,1,False,5,5,0,4,NA,NA,NA,-0.8523270302020618,2.437679603162089,7.652787674178937,-2.671594743579937,292.46923566617636,387,Z-4493,"2000, Maria V. Simankova and Oleg R. Kotsyurbenko and Erko Stackebrandt and Nadezhda A. Kostrikina and Anatoliy M. Lysenko and Georgiy A. Osipov and Alla N. Nozhevnikova, 'Acetobacterium tundrae sp. nov., a new psychrophilic acetogenic bacterium from tundra soil'. Archives of Microbiology, 174(6),pp440-447",NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,tundrae,True,E1,8.0
384_Sch_TF_TKP,Acetobacterium z-4092,schoolfield_two_factor_tpk,Specific Growth Rate,0.04815771868463289,0.5260314420675407,296.58383252633706,38.492463582064225,NA,296.51800000000617,6.043244782940954,NA,NA,0.9845201170331918,-10.08927483564456,-10.042085273474058,NA,NA,schoolfield_two_factor_tpk,1,False,5,5,0,4,NA,NA,NA,1.428281454456255,2.5905183853104017,8.807489311004943,-3.2864617158882226,292.7179461965361,384,Z-4092,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,NA,True,E1,6.0
386_Sch_TF_TKP,Acetobacterium z-4290,schoolfield_two_factor_tpk,Specific Growth Rate,-1.3266267884736866,0.6426891190994444,302.6844149777256,50.61456979547735,NA,302.6070000000076,3.753309733606777,NA,NA,0.9927389618988635,-24.725022096278153,-22.995471351001587,NA,NA,schoolfield_two_factor_tpk,1,False,7,6,1,4,NA,NA,NA,1.4887077336178034,1.7578772768911473,9.037228056053614,-3.187290595074815,303.95521402205355,386,Z-4290,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,NA,True,E1,6.0
385_Sch_TF_TKP,Acetobacterium z-4391,schoolfield_two_factor_tpk,Specific Growth Rate,0.5595275169389827,0.16916734533518385,298.70469578343193,136.3312076386694,NA,NA,NA,NA,NA,0.9782089737254419,0.0,-20.786343347766625,NA,NA,schoolfield_two_factor_tpk,1,False,5,5,0,4,NA,NA,NA,2.4398819545169568,7.612378271645037,25.01908715122064,-12.348671800617073,291.8863075631553,385,Z-4391,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,NA,True,E1,6.0
316_Sch_TF_TKP,Acidianus brierleyi,schoolfield_two_factor_tpk,Sulphur Oxidation Rate,-7.854744625828832,0.67159150859625,349.41439047226777,3.3735261007790927,NA,349.28900000000885,0.157030892909583,NA,NA,0.9738996944655489,-179.3030804186291,-172.5808855227969,NA,NA,schoolfield_two_factor_tpk,1,False,19,16,3,4,0.5949685621948112,0.007148498726367908,0.054835521213320505,-4.3130977652350175,1.4655015994431495,2.097770915294146,0.48936077873951966,352.47749999999996,316,Fig3_A_brierleyi,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",NA,NA,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19,NA
